"Timestamp","What is your age ? ","What is your gender?","What level of education are you currently pursuing?","Do you prefer studying soft materials or hard materials?","Which subjects do you prefer studying with hard materials, and which ones with soft materials? [hard materials ]","Which subjects do you prefer studying with hard materials, and which ones with soft materials? [soft materials]","Which option is the easiest for getting your material? ","What soft materials or digital tools do you prefer?","What specific hard materials do you prefer?","What are your preferred methods for customizing study materials?","Do you find it expensive to use hard materials? ","How important is it to reach your study materials from different devices? (e.g., computer, phone) ? ","When using study materials, do you often find yourself getting distracted by other things, such as 
 social media or anything else
 Note : 0 for Not At All 4 for Extremely distracted,
? [soft materials]","When using study materials, do you often find yourself getting distracted by other things, such as 
 social media or anything else
 Note : 0 for Not At All 4 for Extremely distracted,
? [hard materials]","Which study materials help you to keep your materials for long time ","How often do you experience problems with your soft study materials (like device issues or software problems)?","How often do you face problems with your physical study materials, like book damage or notebook wear and tear?","Do study materials play a role on time saving, and if yes, which types are most effective?","How would you rate the storage or space-related challenges specific to soft study materials ?","Do you find any differences in how well you remember and understand information when using hard or soft study materials? If yes, please explain.","Which type of study materials offers more flexibility in terms of study location and timing: soft or hard?

Note: 0 for No Flexibility , 4 for Extremely Flexibility [soft materials]","Which type of study materials offers more flexibility in terms of study location and timing: soft or hard?

Note: 0 for No Flexibility , 4 for Extremely Flexibility [hard materials]","How would you rate the storage or space-related challenges specific to hard study materials, considering factors such as the amount of space they occupy at home ?","Do you typically prefer to study in an indoor or outdoor environment? ","What study materials are more suitable to study in your preferred environment (indoor/outdoor)?","Why do you find this format to be more suitable for your preferred study environment?","How much flexibility do you have in customizing your study materials to match your specific learning preferences and requirements
Note: 0 for No Flexibility , 4 for Extremely Flexibility? [Soft Materials]","How much flexibility do you have in customizing your study materials to match your specific learning preferences and requirements
Note: 0 for No Flexibility , 4 for Extremely Flexibility? [Hard Materials]","Any additional information about soft vs hard study materials ?"
"2024/03/21 3:45:12 am EET","21","Female","Third Year","Both","Science;Mathematics;Literature;theoretical subjects","Linguistics;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Create summaries using any text editor or note-taking app","Yes","3","4","3","Soft materials","2","1","Both","2","It's easier to remember hen you write by hand instead of just copy and paste.","3","3","3","Indoor","Hard materials","It's available","4","2",""
"2024/03/21 4:18:48 am EET","22","Male","Second Year","Both","Mathematics;Linguistics;Literature;theoretical subjects","Science;Mathematics;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","3","4","1","Soft materials","1","2","Soft Materials","0","No difference","4","2","2","Indoor","Soft materials","It's easier and more convenient ","2","2",""
"2024/03/21 5:16:14 am EET","19","Male","Second Year","Hard materials","Science;Mathematics;theoretical subjects","programming;practical subjects","soft materials","PC","Paper notebooks","Draw a simple mind map on paper","Yes","2","4","1","Hard materials","2","1","Hard Materials","0","For sure the Hard material is better as topics are organized in one place you won’t open several books, remember the place of specific points as you saw it in the same place many time","2","3","2","Indoor","Hard materials","More concentration and isolation","2","2","Nope"
"2024/03/21 11:01:48 am EET","21","Female","Second Year","Soft materials","Mathematics;Linguistics;Literature;theoretical subjects","Science;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Use online quiz-making platforms","Yes","4","4","1","Hard materials","2","0","Soft Materials","3","Yes, I memorize information more efficient through Hard study materials than soft materials as it is more reachable for me than soft, because all my soft materials depends on internet which is sometimes not available.Thus, I always write down what I learn from soft materials on my notebook. ","4","1","2","Indoor","Soft materials","To save more space, and it some how cheaper than hard materials ","4","1","No "
"2024/03/21 11:21:53 am EET","20","Female","Second Year","Hard materials","Mathematics;design;programming;practical subjects","Science;Linguistics;Literature;theoretical subjects","hard materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","1","4","0","Hard materials","3","2","Soft Materials","4","No","4","0","2","Indoor","Hard materials","to feel comfortable and keeping quiet ","4","0",""
"2024/03/21 12:40:00 pm EET","22","Female","Third Year","Hard materials","Science","Science","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","0","0","0","Both","0","0","Hard Materials","0",",","0","0","0","Outdoor","Soft materials",",","0","0","N"
"2024/03/21 3:42:41 pm EET","20","Male","Third Year","Soft materials","Linguistics;Literature","Science;Mathematics;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","4","3","2","Soft materials","1","2","Both","2","no","2","4","2","Indoor","Soft materials","Because I can research whenever and I can open multi windows with different topics on them.","4","2","Nah, I'd pass."
"2024/03/22 4:45:44 pm EET","20","Female","Second Year","Hard materials","Science;Mathematics;Literature;design;programming;theoretical subjects;practical subjects","Linguistics","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","3","4","2","Both","2","1","Both","2"," ","4","3","2","Indoor","Hard materials"," .","2","4",""
"2024/03/23 9:27:09 pm EET","19","Female","Second Year","Soft materials","Mathematics;Linguistics;theoretical subjects;practical subjects","Science;Mathematics;Literature;design;programming","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","No","4","4","1","Soft materials","1","2","Hard Materials","1","No","4","1","3","Indoor","Soft materials","Because am kinda messy so sometimes i don't find my notebooks so it's way easier to get it on my laptop ","2","3",""
"2024/04/01 4:24:34 pm EET","21","Female","Second Year","Both","Mathematics;theoretical subjects;practical subjects","Science;Linguistics;Literature;design;programming","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","1","0","Soft materials","2","1","Soft Materials","2","no","4","2","3","Indoor","Soft materials","I can't take hard matirals with me everywhere","4","4",""
"2024/04/07 12:31:07 am EET","20","Female","Third Year","Both","Science;Mathematics;design;practical subjects","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards;Making summaries using my own words","No","3","3","2","Soft materials","1","2","Both","1","Yes, using hard material such as taking notes help me in remembering and better understanding ","4","1","2","Indoor","Soft materials","It’s suitable for both","4","4",""
"2024/04/11 8:43:04 pm EET","21","Male","Third Year","Hard materials","Science;Mathematics;Linguistics;design;theoretical subjects","Literature;programming;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","Yes","3","3","1","Soft materials","2","2","Soft Materials","1","Yes, using hard material makes the content more rememberable. ","4","1","3","Indoor","Hard materials","It makes me remember the content better and also all hard material exist indoor. ","3","2",""
"2024/04/13 9:02:43 pm EET","21","Male","Third Year","Soft materials","theoretical subjects","Science;Mathematics;Linguistics;Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","4","0","Soft materials","1","2","Soft Materials","2","Yes, make subject more complex ","4","1","2","Indoor","Soft materials","Make me finish work faster","4","1","No"
"2024/04/13 9:42:48 pm EET","21","Male","Third Year","Soft materials","Mathematics","programming","soft materials","Laptop","Paper notebooks","Create a timeline using digital tools","No","1","3","2","Soft materials","2","0","Soft Materials","2","no","3","4","2","Indoor","Hard materials","explain diff bettwen advantage and disadvantage","2","4",""
"2024/04/13 9:46:29 pm EET","21","Female","Third Year","Hard materials","Mathematics;Linguistics;Literature","Science;design;programming;theoretical subjects;practical subjects","both","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","4","4","0","Hard materials","4","1","Hard Materials","2","No","3","1","1","Indoor","Soft materials","All things are available","4","2",""
"2024/04/13 9:58:29 pm EET","21","Female","Third Year","Hard materials","Science;Mathematics;Linguistics;Literature;programming;theoretical subjects;practical subjects","design;programming","soft materials","Tablet","Paper notebooks;Sticky notes","Write down important information on small cards;Create a timeline using digital tools;Use online quiz-making platforms","Yes","3","4","3","Hard materials","3","3","Both","4","Ni","3","3","4","Indoor","Hard materials","Comfortable ","3","3",""
"2024/04/13 10:01:32 pm EET","20","Female","Third Year","Soft materials","Science;Mathematics;design;programming;practical subjects","Linguistics;Literature;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","No","3","2","2","Soft materials","1","2","Soft Materials","0","no","4","1","3","Indoor","Soft materials","it doesn't require a lot of space","3","2","no"
"2024/04/13 10:02:12 pm EET","21","Female","Third Year","Both","Mathematics","Linguistics","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper","No","2","3","0","Soft materials","2","0","Soft Materials","2","No","2","1","2","Indoor","Soft materials","Because it's general","0","3","No"
"2024/04/13 10:21:59 pm EET","21","Female","Third Year","Hard materials","Mathematics","Science","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","3","3","0","Soft materials","1","3","Soft Materials","0","Understand more in hard","2","2","2","Indoor","Soft materials","Because resources available.","3","1","No"
"2024/04/13 10:22:26 pm EET","21","Female","Third Year","Soft materials","Mathematics;practical subjects","Science;Linguistics;Literature;design;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","Yes","4","3","0","Soft materials","2","4","Soft Materials","3","Yes, by soft materials we i can easily highlight the important points and write notes beside it","2","4","2","Outdoor","Hard materials","Because I can easily take my books or notebooks to study outdoor","4","4","Soft materials are more amazing for studying"
"2024/04/13 10:23:03 pm EET","20","Female","Second Year","Soft materials","Science","Linguistics","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","No","2","2","1","Soft materials","2","1","Soft Materials","1","Yes","2","1","3","Indoor","Soft materials","So easy to use","1","2","Not found "
"2024/04/13 10:24:53 pm EET","22","Male","Fourth Year","Both","Linguistics;design","Science;Mathematics;Literature;programming;theoretical subjects;practical subjects","both","PC","Paper notebooks","Use online quiz-making platforms","Yes","2","4","4","Both","2","2","Both","2","No","3","3","2","Outdoor","Soft materials","Because it is suitable for me","2","2","No"
"2024/04/13 10:36:17 pm EET","21","Male","Third Year","Soft materials","theoretical subjects","design;programming","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper","Yes","2","1","1","Soft materials","1","2","Soft Materials","1","No","1","1","1","Indoor","Soft materials","No","1","1","No"
"2024/04/13 10:38:02 pm EET","21","Female","Third Year","Both","Science;Mathematics;Linguistics;design;programming;theoretical subjects;practical subjects","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","3","2","0","Hard materials","2","1","Hard Materials","3","In my opinion I prefer hard materials like paper notebooks as hard materials like tablet or laptop need to be charged a lot of times ","4","1","4","Indoor","Hard materials","As I could take my notebook in any time and at any place ","2","3","Wish you all the best in your lives "
"2024/04/13 10:38:48 pm EET","19","Female","Second Year","Both","Science;Mathematics;Linguistics;Literature","Science;Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","No","3","3","1","Hard materials","1","0","Both","3","No","4","1","0","Indoor","Hard materials","I don't need to carry it to any place ","3","3",""
"2024/04/13 10:38:55 pm EET","21","Male","Third Year","Both","Mathematics","Linguistics","both","Laptop","Paper notebooks","Create a timeline using digital tools","Yes","3","1","2","Both","3","3","Both","3","No","1","2","3","Outdoor","Soft materials","Improves alot","2","1",""
"2024/04/13 10:46:22 pm EET","21","Female","Fourth Year","Both","Mathematics;Linguistics;Literature","Science;Mathematics;Linguistics;design;programming;theoretical subjects;practical subjects","soft materials","Tablet","Paper notebooks","Write down important information on small cards","No","3","3","2","Hard materials","2","0","Soft Materials","1","No","3","1","3","Indoor","Soft materials","Because i can access the lecture materials at any time","3","2",""
"2024/04/13 10:51:13 pm EET","20","Male","Third Year","Soft materials","Mathematics;design;theoretical subjects","Science;Linguistics;Literature;programming;practical subjects","soft materials","Tablet","Paper notebooks","Create a timeline using digital tools","Yes","4","3","1","Soft materials","0","1","Soft Materials","0","Yes , you are less prone to be distracted when studying using hard materials so you can focus better ","4","1","2","Indoor","Soft materials","accessibly","4","2",""
"2024/04/13 10:52:47 pm EET","20","Male","Second Year","Both","Science;Mathematics;Linguistics;Literature;programming;theoretical subjects","Science;Mathematics;design;programming;theoretical subjects;practical subjects","soft materials","PC","Books","Nothing in particular","Yes","4","4","2","Both","2","1","Hard Materials","1","No","4","1","1","Indoor","Soft materials","More accessibility ","4","2",""
"2024/04/13 10:56:50 pm EET","21","Female","Third Year","Soft materials","Mathematics;Linguistics;programming;theoretical subjects","Science;Linguistics;Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","4","3","Hard materials","2","2","Hard Materials","0","No","4","2","2","Indoor","Soft materials","Good Wi-Fi, comfortable and noise-free place so I can focus when I study","4","2",""
"2024/04/13 11:10:50 pm EET","20","Female","Third Year","Both","Science;Literature;design;programming","Mathematics;Literature;design;programming;theoretical subjects","soft materials","Laptop","Paper notebooks;Sticky notes;Highlighters","Draw a simple mind map on paper;Write down important information on small cards","Yes","4","4","2","Both","2","2","Hard Materials","4","I do remember better information I get from hard material of study I guess because of lacking of disturbance so I can focused better","4","3","2","Indoor","Hard materials","It's just suitable ","2","3",""
"2024/04/13 11:25:51 pm EET","21","Female","Third Year","Both","Mathematics","Literature","both","Laptop","Sticky notes","Draw a simple mind map on paper;Write down important information on small cards","Yes","2","2","4","Both","3","4","Hard Materials","2","No","4","1","2","Indoor","Hard materials"," .","1","3","Noo"
"2024/04/13 11:28:27 pm EET","19","Female","Second Year","Both","Science;Mathematics;design;practical subjects","Linguistics;design;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","No","4","4","2","Soft materials","2","3","Both","4","Hard material make you remember better than soft but if both together it's the best thing to remember info ","4","2","3","Indoor","Hard materials","I don't know how to explain ","4","3",""
"2024/04/13 11:31:37 pm EET","20","Male","Second Year","Both","Science;Linguistics","Science;Linguistics","hard materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","3","0","0","Both","1","1","Both","2","。。。。。","0","1","1","Indoor","Hard materials","。。。","1","1","。。。"
"2024/04/13 11:39:20 pm EET","20","Female","Second Year","Hard materials","Literature;theoretical subjects;practical subjects","Science;Mathematics;Linguistics;design;programming","hard materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper","Yes","0","3","3","Hard materials","4","3","Both","3","hard materials","1","2","3","Indoor","Soft materials","Because it is easy to handle ","2","2","no"
"2024/04/13 11:41:33 pm EET","20","Female","First Year","Hard materials","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","programming;practical subjects","hard materials","PC","Paper notebooks;Sticky notes","Create a timeline using digital tools","Yes","1","4","3","Hard materials","4","4","Hard Materials","4","Yes, I find a difference. In hard study, I rely on writing, and this helps in remembering  ","4","4","0","Indoor","Hard materials","Because it is the least distracting","2","4",""
"2024/04/13 11:46:44 pm EET","21","Female","Third Year","Both","Linguistics;Literature;design","Science;Mathematics;Literature;programming","both","Laptop","Paper notebooks","Write down important information on small cards","Yes","3","1","2","Both","2","1","Both","2","Nah ","3","1","2","Indoor","Soft materials","Idk","0","3","Nah"
"2024/04/13 11:56:23 pm EET","21","Male","Third Year","Soft materials","theoretical subjects","Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","1","4","Soft materials","4","2","Soft Materials","2","No","4","1","2","Outdoor","Soft materials","Finish fast","4","2","No"
"2024/04/14 12:00:11 am EET","21","Male","Third Year","Soft materials","theoretical subjects","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","0","2","Soft materials","2","2","Soft Materials","1","No","4","1","2","Indoor","Soft materials","Finish fast","4","1","No"
"2024/04/14 12:13:55 am EET","21","Male","Third Year","Soft materials","theoretical subjects","Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","0","4","Soft materials","2","2","Soft Materials","0","No","4","0","0","Indoor","Soft materials","Finish fast","4","0","No"
"2024/04/14 12:17:36 am EET","21","Male","Third Year","Soft materials","theoretical subjects","Science;Mathematics;Linguistics;Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","0","2","","2","2","Soft Materials","1","No","4","1","2","Indoor","Soft materials","Finish fast","4","0","No"
"2024/04/14 12:30:14 am EET","21","Female","Third Year","Soft materials","Science;Mathematics;Linguistics;theoretical subjects;practical subjects","Literature;design;programming","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools","Yes","3","2","1","Soft materials","1","2","Soft Materials","1",".","0","2","2","Indoor","Hard materials",".","2","2","."
"2024/04/14 12:40:17 am EET","21","Female","Third Year","Both","Science;Mathematics;Linguistics;Literature;theoretical subjects;practical subjects","design;programming","soft materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","2","4","0","Hard materials","1","4","Hard Materials","4","Hard helps to remember notes","2","3","4","Outdoor","Soft materials","Easy to take outside","2","2",""
"2024/04/14 12:52:20 am EET","20","Female","Third Year","Soft materials","Science;Mathematics;Linguistics;theoretical subjects","Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Use online quiz-making platforms","Yes","0","2","2","Hard materials","1","0","Soft Materials","0","No i don't find any difference in understanding when using hard or soft materials ","4","1","0","Indoor","Hard materials","Soft material ","4","1",""
"2024/04/14 12:52:24 am EET","21","Female","Fourth Year","Soft materials","Science;Linguistics;Literature;practical subjects","Mathematics;design","soft materials","Laptop","Paper notebooks","Write down important information on small cards","Yes","4","3","1","Soft materials","1","2","Soft Materials","2","No","2","0","2","Indoor","Soft materials","I can study by pc","2","1",""
"2024/04/14 12:52:53 am EET","23","Male","Third Year","Hard materials","Science","Mathematics","soft materials","PC","Paper notebooks","Write down important information on small cards","Yes","2","0","0","Hard materials","2","3","Hard Materials","2","Yes","2","2","3","Outdoor","Hard materials","Yes","2","2","No"
"2024/04/14 1:30:29 am EET","20","Female","Third Year","Both","Mathematics;practical subjects","Science;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","both","Tablet","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools;Use online quiz-making platforms","No","4","4","1","Soft materials","1","3","Soft Materials","0","No","4","2","3","Outdoor","Soft materials","Obviously i use both materials it doesn’t matter either it is soft material or hard material if i am studying outside","4","4","No"
"2024/04/14 1:56:23 am EET","18","Female","First Year","Hard materials","Science;Mathematics;programming;theoretical subjects","Linguistics","hard materials","Laptop","Sticky notes","Write down important information on small cards","No","2","2","2","Both","0","1","Hard Materials","2","..","0","2","2","Outdoor","Hard materials",".","1","2","."
"2024/04/14 2:48:53 am EET","21","Female","Third Year","Both","Mathematics;Linguistics","Science","both","Laptop","Sticky notes","Write down important information on small cards","No","3","1","2","Both","1","1","Both","1","No","1","2","1","Indoor","Soft materials",".","3","2",""
"2024/04/14 2:50:14 am EET","21","Female","Third Year","Both","Science;Mathematics;Linguistics;Literature;practical subjects","design;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","3","2","1","Soft materials","1","1","","2","It's more effective when using hard materials ","3","2","3","Indoor","Soft materials","Makes me more interested ","4","2",""
"2024/04/14 5:55:47 am EET","21","Male","Fourth Year","Soft materials","theoretical subjects","Science;Mathematics;Linguistics;Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Create a timeline using digital tools","Yes","4","0","3","Soft materials","1","2","Soft Materials","1","No","4","1","2","Indoor","Soft materials","Finish fast","4","0","No"
"2024/04/14 8:11:37 am EET","20","Female","Third Year","Both","Science;Linguistics","Mathematics","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","No","2","3","1","Both","3","1","Hard Materials","2","No","0","3","2","Indoor","Hard materials","Hard materials","3","1","No"
"2024/04/14 8:26:13 am EET","19","Female","Second Year","Both","Science","Mathematics","soft materials","Tablet","Paper notebooks","Write down important information on small cards;Use online quiz-making platforms","Yes","1","1","3","Hard materials","1","2","Hard Materials","1","Yes","3","1","2","Indoor","Hard materials","No ","3","1","Nope"
"2024/04/14 8:39:20 am EET","19","Female","Second Year","Both","Science;Mathematics;Linguistics;theoretical subjects","Literature;design;programming;practical subjects","soft materials","Laptop","Normal books","Write down important information on small cards;Use online quiz-making platforms;","Yes","4","4","1","Soft materials","2","2","Both","3","Hard materials are often need someone to explain ..so I think it's good for memorizing info ..on the other hand if I use an app for doing something specific, it will make me remember it easily and will explain the Hard points I may don't understand ","3","3","0","Indoor","Soft materials","Because of my study, that depends on the dictionaries and the difference between the words ..so I use soft materials to reach the answers which I want ","2","3","Both are important, and I find that we won't depend on only one ofthem ..at least in the recent years "
"2024/04/14 12:14:17 pm EET","18","Female"," Senior two ","Hard materials","Science;Mathematics;Linguistics","design;programming","soft materials","Laptop","Paper notebooks","Write down important information on small cards;Create a timeline using digital tools","Yes","3","4","3","Hard materials","0","0","Hard Materials","1","No I remember & understand by the two ways but, soft material distracte me because I always open different things ","3","3","1","Outdoor","Hard materials","It just relax me and hard material make me focus more ","2","3",""
"2024/04/14 1:03:34 pm EET","18","Female","Third Year","Both","Science;Mathematics;practical subjects","Linguistics;Literature;design;programming;theoretical subjects","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper","Yes","3","4","2","Soft materials","4","2","Soft Materials","3","No","4","3","1","Indoor","Hard materials","انه مريح لي","2","1",""
"2024/04/14 2:19:37 pm EET","19","Female","Second Year","Hard materials","Science;Mathematics;Literature;design;programming;theoretical subjects","Science;Linguistics;design;programming;practical subjects","soft materials","Laptop","Paper notebooks;Books","Draw a simple mind map on paper;Write down important information on small cards;Use online quiz-making platforms","Yes","2","4","1","Hard materials","2","1","Hard Materials","3","Hard material make you write ,make a graph for your mind could highlight sentence with amore deeptest focus of this words,and it make you more flexible to use more one page in same time to exclude &conclude useful information ","2","3","2","Indoor","Hard materials","As i am in the hight focus environment with less distracted affect ,and i could talk ,listen to myself ,write , take more space to perform and practice my eye and memory to save it more accurate","3","1","Thanks ,good survey 
Good luck .
Just suggest how we could reach easily to hardcopy with effictive way "
"2024/04/14 2:51:20 pm EET","21","Female","Second Year","Both","Science","Linguistics","both","Tablet","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools","Yes","4","3","4","Both","3","3","Both","3","No","4","3","4","Outdoor","Soft materials","Because it's nice","4","3","No"
"2024/04/14 4:01:12 pm EET","19","Female","Second Year","Both","Science;Mathematics;Linguistics;Literature;theoretical subjects;practical subjects","Linguistics;Literature;design;programming;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","No","3","3","2","Both","1","1","Both","2","Yes , with hard material I feel stressed if I couldn't remember all the information I wrote or highlighted which makes me not to remember the only things I have to while answering a question, with soft materials it feels vague to remember sometimes ","3","2","1","Indoor","Hard materials","As if I needed anything I could get more easily, also it feels comfortable ","2","2",""
"2024/04/14 4:05:16 pm EET","19","Female","Second Year","Both","Mathematics;theoretical subjects;practical subjects","programming","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards","Yes","3","3","1","Soft materials","2","1","Soft Materials","0","Yes","4","2","3","Indoor","Soft materials","Easy to move over places","1","3",""
"2024/04/14 4:07:57 pm EET","20","Male","Second Year","Both","Science;Mathematics;programming;practical subjects","Mathematics;programming;practical subjects","both","Laptop","Paper notebooks","Write down important information on small cards","No","3","2","4","Hard materials","3","3","Soft Materials","2","When studying with soft material it's hard to always remember the information because in my case if I need to remember something I have to summarize it and write it in my own way","3","2","3","Indoor","Hard materials","Because in my home (indoor) I have all the tools I need to study and don't have to carry it wherever I go","2","3","No"
"2024/04/14 4:15:36 pm EET","21","Male","Second Year","Soft materials","Science;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","Mathematics","soft materials","Tablet","Paper notebooks","Draw a simple mind map on paper;Use online quiz-making platforms","Yes","4","2","0","Soft materials","1","2","Hard Materials","3","no","4","2","4","Indoor","Soft materials","i can study anywhere without others feeling that i am studying.","4","2",""
"2024/04/14 4:19:13 pm EET","24","Male","Second Year","Both","Mathematics;Linguistics;practical subjects","Science;Literature;design;programming;theoretical subjects","soft materials","Laptop","Paper notebooks","Arrange them in files in my computer","No","4","3","0","Hard materials","0","1","Both","0","Soft is better as i am used to learning from the internet so it comes more naturally ","3","3","0","Indoor","Soft materials","Less nosie, and weather can't have that much of an effect","3","2","Hard is good when you know you will use this info in the long run, while soft is quick reliable and less costly on something that may not be useful later on"
"2024/04/14 4:21:19 pm EET","20","Male","Second Year","Both","Mathematics;Linguistics;design;theoretical subjects;practical subjects","programming;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper","No","3","4","1","Soft materials","1","3","Soft Materials","1","NO","4","0","3","Indoor","Soft materials","soft materials as laptop, tablet are portable ,more systematic ","4","0","NO"
"2024/04/14 4:25:15 pm EET","20","Male","Second Year","Soft materials","Mathematics;Linguistics;Literature","Science;Mathematics;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Write down important information on small cards","No","4","3","1","Soft materials","1","2","Soft Materials","0","no","4","1","2","Indoor","Soft materials","because it is all in one space without need to get it from more than book","4","1",""
"2024/04/14 5:11:15 pm EET","22","Female","Third Year","Soft materials","Science;Mathematics;theoretical subjects;practical subjects","Science;Mathematics;Linguistics;Literature;design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks;Sticky notes","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools","Yes","2","3","2","Both","2","2","Both","3","No","2","2","2","Indoor","Soft materials","There is a WiFi and a quite place and place to charge my laptop","2","2",""
"2024/04/14 5:23:48 pm EET","20","Female","Second Year","Both","Science;Mathematics;theoretical subjects","Linguistics;Literature;design;programming","soft materials","Laptop","Paper notebooks","Use online quiz-making platforms","Yes","4","3","3","Both","2","1","Both","3","No","3","2","3","Indoor","Hard materials","Because it's easier to have hard materials indoor rather than getting out with them","2","2",""
"2024/04/14 5:43:24 pm EET","19","Male","Second Year","Hard materials","Science;Mathematics;Literature;design;theoretical subjects;practical subjects","Linguistics;programming","soft materials","Laptop","Paper notebooks","Create a timeline using digital tools","Yes","3","4","2","Soft materials","1","2","Soft Materials","0","I tend to focus on more details when i read on hard material ","3","2","3","Indoor","Hard materials","Less distraction, less blue light ","3","3",""
"2024/04/14 5:57:52 pm EET","22","Female","Fourth Year","Both","Science;Linguistics","Science;Linguistics","soft materials","My phone ","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards;Create a timeline using digital tools;Use online quiz-making platforms","Yes","4","1","2","Soft materials","1","4","Soft Materials","2","No, i didn't find any differences","3","1","3","Indoor","Hard materials","No noise, there is too calm, and it is comfortable ","3","3","U can add podcasts and sound lectures to the soft material category "
"2024/04/14 6:20:06 pm EET","20","Male","Second Year","Soft materials","Science;Literature;theoretical subjects","Mathematics;design;programming;practical subjects","soft materials","PC","Sticky notes","Draw a simple mind map on paper;Write down important information on small cards","No","3","3","2","Soft materials","3","2","Soft Materials","2","No","3","2","2","Outdoor","Soft materials","Because I like it ","3","2","No"
"2024/04/14 6:32:06 pm EET","19","Female","Second Year","Both","Science;Mathematics;Linguistics;Literature","design;programming;theoretical subjects;practical subjects","soft materials","Laptop","Paper notebooks","Draw a simple mind map on paper;Write down important information on small cards;Use online quiz-making platforms","No","4","2","2","Both","2","2","Both","3","No difference ","3","2","3","Indoor","Soft materials","Because easy to use anytime ","2","2",""
